timestamp_ms,pixel_height,estimated_distance_cm,confidence
1752076352352,184,50.2174,0.926568
1752076352412,185,49.9459,0.927467
1752076352472,185,49.9459,0.92918
1752076352532,186,49.6774,0.929416
1752076352592,186,49.6774,0.929658
1752076352652,186,49.6774,0.926586
1752076352718,186,49.6774,0.926708
1752076352780,187,49.4118,0.924248
1752076352837,187,49.4118,0.925657
1752076352897,186,49.6774,0.922679
1752076352957,186,49.6774,0.922379
1752076353017,186,49.6774,0.925799
1752076353076,187,49.4118,0.924814
1752076353137,187,49.4118,0.920226
1752076353202,184,50.2174,0.924358
1752076353257,183,50.4918,0.930255
1752076353321,183,50.4918,0.923897
1752076353377,182,50.7692,0.925365
1752076353438,181,51.0497,0.923979
1752076353497,181,51.0497,0.920471
1752076353557,179,51.6201,0.924175
1752076353617,181,51.0497,0.924606
1752076353675,179,51.6201,0.925962
1752076353738,179,51.6201,0.923237
1752076353797,180,51.3333,0.924507
1752076353857,180,51.3333,0.927218
1752076353916,180,51.3333,0.924048
1752076353977,180,51.3333,0.925875
1752076354037,180,51.3333,0.923473
1752076354097,181,51.0497,0.925431
1752076354157,183,50.4918,0.923302
1752076354217,181,51.0497,0.925579
1752076354277,180,51.3333,0.925945
1752076354342,181,51.0497,0.924829
1752076354401,181,51.0497,0.924513
1752076354463,181,51.0497,0.928738
1752076354520,181,51.0497,0.922895
1752076354581,181,51.0497,0.922758
1752076354641,181,51.0497,0.92032
1752076354701,181,51.0497,0.922951
1752076354761,181,51.0497,0.921787
1752076354821,181,51.0497,0.924476
1752076354881,181,51.0497,0.921899
1752076354941,181,51.0497,0.92052
1752076355001,180,51.3333,0.922576
1752076355061,179,51.6201,0.924228
1752076355121,180,51.3333,0.926213
1752076355181,180,51.3333,0.928167
1752076355241,179,51.6201,0.932204
1752076355301,179,51.6201,0.929161
1752076355359,179,51.6201,0.929606
1752076355418,179,51.6201,0.927866
1752076355479,179,51.6201,0.924348
1752076355539,180,51.3333,0.93118
1752076355601,179,51.6201,0.930992
1752076355659,180,51.3333,0.931086
1752076355721,180,51.3333,0.931135
1752076355781,180,51.3333,0.929706
1752076355841,180,51.3333,0.92609
